metric_ID,__name__,address,alertmanager,alertname,alertstate,bios_date,bios_vendor,bios_version,board_name,board_vendor,board_version,branch,broadcast,call,capacity_level,cause,chassis_vendor,chip,chip_name,clocksource,code,collector,config,core,cpu,device,dialer_name,domainname,duplex,endpoint,event,firmware_revision,goversion,handler,id,id_like,index,instance,interval,ip,job,label,le,major,minor,mode,model,model_name,mountpoint,name,nodename,operstate,package,path,power_supply,pretty_name,product_family,product_name,quantile,queue,reason,release,revision,role,rule_group,scrape_job,sensor,serial,serial_number,slice,state,status,sysname,system_vendor,technology,time_zone,type,version,version_codename,version_id,zone,value,timestamp
0,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/-/ready,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-05-04 16:20:18
1,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/api/v1/label/:name/values,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-05-04 16:20:18
2,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/api/v1/query,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2023-05-04 16:20:18
3,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/favicon.ico,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-05-04 16:20:18
4,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/graph,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-05-04 16:20:18
5,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/metrics,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2023-05-04 16:20:18
6,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,/static/*filepath,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2023-05-04 16:20:18
7,prometheus_http_requests_total,,,,,,,,,,,,,,,,,,,,302,,,,,,,,,,,,,/,,,,localhost:9090,,,prometheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2023-05-04 16:20:18
